Product Name,Brand Name,Price,Discount,Total Reviews,Product Rating
ALagzi Men's Plus Size Loafers - Brown,ALagzi,"KSh 1,100",43%,N/A,N/A
Hard Khaki Trouser Pants -Brown,Hard,KSh 700,46%,N/A,N/A
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Black",XIAOMI,"KSh 7,949",28%,N/A,N/A
SILVER CREST Commercial Heavy Duty Blender 2in1 4500watts Double Jug with Grinding Machine or Grinder,SILVER,"KSh 2,729",45%,N/A,N/A
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black",Samsung,"KSh 9,000",40%,N/A,N/A
"Vitron 32""Inch Bluetooth/Frameless Smart Android TV Inbuilt Decoder+FREE GIFTS",Vitron,"KSh 11,790",51%,N/A,N/A
"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",Samsung,"KSh 16,979",53%,N/A,N/A
"Mosquito Net With Metallic Stand White 4*6, 5*6, 6*6",Mosquito,"KSh 1,189",15%,N/A,N/A
4pcs Duvet Comforter Set Duvet Blanket Starry Sky Bedding Set 1 Soft Microfiber Polyester Comforter 1 White Sheet 2 White Pillowcases,4pcs,"KSh 1,879",1%,N/A,N/A
15mls 6pcs Tot Glasses Shot Glasses For Shots,15mls,KSh 899,36%,N/A,N/A
"Mexico Modern Wooden TV Stand For Up To 55"" TV",Mexico,"KSh 3,840",49%,N/A,N/A
Istanbul 2 modern tv stand with led light,Istanbul,"KSh 4,999",44%,N/A,N/A
Geemy ELECTRIC Professional HAIR Clipper SHAVER / Beard Trimmer- Shaving MACHINE-KINYOZI + GIFTS ELECTRIC IRONING BOX // IRONBOX 1000W & 2 Pieces Face Towels,Geemy,"KSh 1,930",36%,N/A,N/A
"HP  Refurbished EliteBook 8460/70p Core I5 - HDD 500GB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)",HP,"KSh 11,899",41%,N/A,N/A
"Lenovo Refurbished ThinkPad Yoga 11e Touch Screen Intel Celeron 4GB 128GB SSD 11.6""",Lenovo,"KSh 10,239",57%,N/A,N/A
"Vitron HTC3200S,32 Inch Frameless Smart Android TV Inbuilt Wifi, Inbuilt Decoder,Bluetooth Enabled (1 Year Warranty)+FREE TV Guard+Extension",Vitron,"KSh 11,799",28%,N/A,N/A
Amaze TV Guard/DVD Guard - 13A.,Amaze,KSh 495,51%,N/A,N/A
RichRipple M10 LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,RichRipple,KSh 389,55%,N/A,N/A
10000mAh Small Size Unique Design  2A Fast Charger with 2-in-2-out Fast Charging Power Bank,10000mAh,KSh 588,68%,N/A,N/A
GUEETON 128GB Metal OTG Usb Flash Drive Waterproof 3D Embossment,GUEETON,KSh 524,44%,N/A,N/A
STY 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Synthetic Leather -Pink,STY,KSh 799,40%,N/A,N/A
ASHION 2024 Men's Casual Shoes Big Size  Sneakers 39-48,ASHION,KSh 970,53%,N/A,N/A
Design Watches Luminous Alloy Men's Wrist Watch - Green,Design,KSh 289,33%,N/A,N/A
Classic Men's Casual Sneakers,Classic,KSh 937,33%,N/A,N/A
Bluetooth Selfie Stick Tripod + Fill Light +Shutter Remote,Bluetooth,KSh 389,77%,N/A,N/A
Mythco USB Powered Remote Control 20-Color Sunset Lamp/Projector,Mythco,KSh 589,42%,N/A,N/A
ARHANORY Women Necklace Ladies Heartbeat Rythm Pendant Chain - Gold,ARHANORY,KSh 145,57%,N/A,N/A
Mythco 25-in-1 Small Precision Screwdriver Set Magnetic Mini Repair Tool Kit,Mythco,KSh 340,54%,N/A,N/A
Ear Mounted Wireless Bluetooth Earphones Earpod Stereo Hifi,Ear,KSh 875,48%,N/A,N/A
Foldable Portable Laptop Stand With Mobile Phone Stand 3 In 1 Black,Foldable,KSh 451,43%,N/A,N/A
Men's Breathable Sneakers Casual Shoes Non-slip Comfort Sport - Brown,Men's,"KSh 1,130",54%,N/A,N/A
Men's 2-in-1 Super Cool Short Sleeve T-shirt - Black And White,Men's,KSh 690,46%,N/A,N/A
Domyos Skipping Rope 100,Domyos,KSh 290,26%,N/A,N/A
Nabaiji READY 100 SWIMMING GOGGLES - ONE SIZE - CLEAR LENSES - Grey,Nabaiji,KSh 390,34%,N/A,N/A
TARMAK R100 - Durable Basketball - Size 7 - Orange,TARMAK,"KSh 1,550",N/A,N/A,N/A
Caperlan Line 4x4 250m Fishing Line,Caperlan,KSh 390,20%,N/A,N/A
RIVERSIDE Hand Pump 100 - Black,RIVERSIDE,KSh 490,N/A,N/A,N/A
CANAVERAL T100 Steel-tipped Darts Tri-pack - Black,CANAVERAL,KSh 790,11%,N/A,N/A
KIPRUN Running Socks Run 100 3-pack - Black,KIPRUN,KSh 590,34%,N/A,N/A
Domyos Lifting Strap,Domyos,KSh 890,23%,N/A,N/A
Nabaiji 100 Thin Silicone Swim Cap - Grey,Nabaiji,KSh 290,N/A,N/A,N/A
"Back,lumber,neck & Shoulder Posture Corrector/support For Men And Women","Back,lumber,neck",KSh 696,50%,N/A,N/A
1 Pair Of Thickened Sports Knee Pads And Fitness Knee Pads,1,KSh 566,53%,N/A,N/A
1Pcs Adjustable Elastic Ankle Brace Guard Foot,1Pcs,KSh 264,51%,N/A,N/A
Long Hair Printed Swimming Cap(Blue),Long,KSh 729,36%,N/A,N/A
Women's Corset Fitness Shapewear - Black,Women's,KSh 399,42%,N/A,N/A
Black Full Face Balaclava Ski Mask with Filter Mesh Windproof Dustproof Motorcycle Bicycle,Black,KSh 750,25%,N/A,N/A
NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - (Pack of 2),NIVEA,KSh 999,41%,N/A,N/A
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black (2YRs WRTY)",XIAOMI,"KSh 11,253",23%,N/A,N/A
Garnier Pure Active AHA+BHA Charcoal Daily Mattifying Air Cream 50ml. 3 In 1 All Day Oil Control Moisturiser With 48hr Hydration To Visibly Reduce Blemishes.,Garnier,KSh 789,36%,N/A,N/A
"Poco C71,  6.88"", 64GB + 3GB RAM (Dual SIM), 5200mAh, Black",Poco,"KSh 7,599",24%,N/A,N/A
L'Oréal Paris GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,L'Oréal,KSh 549,35%,N/A,N/A
Garnier Skin Active Super UV Invisible Sunscreen SPF50 with Vitamin C - Protects and Reduces 53% Dark Marks,Garnier,KSh 930,36%,N/A,N/A
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),NIVEA,KSh 749,41%,N/A,N/A
"XIAOMI POCO C71,  6.88"", 128GB + 4GB RAM (Dual SIM), 5200mAh, Black",XIAOMI,"KSh 8,999",22%,N/A,N/A
"NIVEA His & Hers Deo Pack - Deep Roll-On - 50ml, Pearl & Beauty Roll-On - 50ml",NIVEA,KSh 699,33%,N/A,N/A
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,NIVEA,KSh 899,31%,N/A,N/A
"XIAOMI Redmi A5, 6.88"", 4GB + 128GB , 5200mAh, DUAL SIM, 4G - Midnight Black",XIAOMI,"KSh 10,099",20%,N/A,N/A
"Maybelline Fit Me Hydrating Primer Luminous and Smooth, Enriched with Vitamin E, for Normal to Oily Skin, 30ml",Maybelline,KSh 990,33%,N/A,N/A
"Maybelline Lifter Gloss Plumping and Hydrating Lip Gloss, Shade: 009 Topaz, with Hyaluronic Acid for Super Juicy Lips with Incredible Shine, 5.4ml",Maybelline,KSh 799,41%,N/A,N/A
NIVEA Deep Care Bundle,NIVEA,KSh 799,33%,N/A,N/A
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),NIVEA,KSh 999,32%,N/A,N/A
Meind 200W Car Power Inverter 12V DC To 220V AC Converter For Car,Meind,"KSh 2,300",54%,N/A,N/A
Vehicle Repair Tool 46 Pcs Mini Socket Wrench Set Box Spanner Socket Set,Vehicle,KSh 806,46%,N/A,N/A
12V/24V 8A Automatic Car Battery Charger Power - Black,12V/24V,"KSh 1,808",54%,N/A,N/A
GUEETON Portable Digital Tire Inflator Car Air Compressor,GUEETON,"KSh 1,470",41%,N/A,N/A
Motorcycle Elbow Knee Pads Protective Gear Guards Kit,Motorcycle,"KSh 2,375",41%,N/A,N/A
"Mythco Cordless Portable 300W Pressure Washer, 6 In 1 Nozzle, 10-cell Battery",Mythco,"KSh 3,799",52%,N/A,N/A
"Gladiator Tire Sealant & Inflator 450ml - Emergency Flat Tyre Puncture - For All cars Vehicles, Trucks, Motorcycles and Bicycles",Gladiator,KSh 864,54%,N/A,N/A
Car LED Strip Light 7 Multicolor Interior RGB Under Dash Lighting Waterproof Kit With Wireless Remote Control Multi-Mode Change,Car,"KSh 1,137",43%,N/A,N/A
Panasonic 1/2/5pcs Lithium Coin CR1632 Cells Pack Coin Batteries 3V CR 1632 Battery ECR1632 Key Fob Car Remote,Panasonic,"KSh 505 - KSh 1,517",42%,N/A,N/A
Universal Scratch Repair Pen For Car/Motorcycle/Boat,Universal,"KSh 3,200",47%,N/A,N/A
Car Engine Refueling Funnel Filter Oil Gasoline Filling Strainer Extension Pipe Hose Funnels Tool,Car,KSh 909,43%,N/A,N/A
"CARSUN 2 PCS Car Rear View Mirror Stickers, Red Waterproof Vinyl Auto Side Rearview Stripes, Universal Reflective Anti-Collision Striped Warning Decal for Most Vehicles",CARSUN,KSh 505,49%,N/A,N/A
Tiaoping 2pc TP-008A 500W Mini Car Tweeter Speaker Universal DC 12V Music Loudspeaker Adjustable Audio Sound,Tiaoping,KSh 864,52%,N/A,N/A
Rearview Mirror Auxiliary Mirror,Rearview,"KSh 1,000",34%,N/A,N/A
Car Stereo Player FM Radio Dual USB LCD,Car,"KSh 1,733",42%,N/A,N/A
Softcare Baby Wipes 80pcs,Softcare,KSh 150,N/A,N/A,N/A
Nice & Lovely Baby Range Value Pack,Nice,"KSh 1,690",35%,N/A,N/A
Baby Crib/ Wooden Cot Mosquito Net (Fits 2ft By 4ft Cot),Baby,KSh 780,32%,N/A,N/A
Catpapa 0-3Years Baby Girls Leopard Print  Shirt With Bell-bottoms,Catpapa,KSh 700,33%,N/A,N/A
Catpapa 1-6Years Kids Girl Flower Print Long Sleeve Dress,Catpapa,KSh 700,56%,N/A,N/A
Baby Carrier With A Hood - Blue,Baby,"KSh 1,240",31%,N/A,N/A
Catpapa 0-3 Years Kid Girl 2PCS Solid Color Ribbed Overcoat With Floral Sleeveless Dress,Catpapa,"KSh 1,200",42%,N/A,N/A
DIY Handmade Airplane Model Toys,DIY,KSh 238,82%,N/A,N/A
Catpapa 1-3 Years Kid Boy Clothes Set Short Sleeves Tshirt + Shorts 2PCS,Catpapa,KSh 817,65%,N/A,N/A
Figures Dolls  LED Colorful Glowing Teddy Bear Stuffed  Toy,Figures,KSh 691,54%,N/A,N/A
Bells Zinc And Castor Oil Cream Soothes Babies Delicate Skin 225g,Bells,"KSh 2,300",8%,N/A,N/A
HOT Automatic Portable Silicon Milk Pump Wireless Rechargeable Single Electric Breast Pump,HOT,"KSh 1,447",10%,N/A,N/A
Comfortable 2 Hand Baby Carrier,Comfortable,"KSh 1,299",48%,N/A,N/A
Reusable Washable Adjustable Baby Diaper With 3 Inserts,Reusable,KSh 497,29%,N/A,N/A
Catpapa 3-24Months Baby Girls Long Sleeved Shirt With Pants  Letter Printing,Catpapa,KSh 700,36%,N/A,N/A
